"Track.Name","Artist.Name","Genre","Beats.Per.Minute"
"Señorita","Shawn Mendes","pop",117
"China","Anuel AA","nao e pop",105
"boyfriend (with Social House)","Ariana Grande","pop",190
"Beautiful People (feat. Khalid)","Ed Sheeran","pop",93
"Goodbyes (Feat. Young Thug)","Post Malone","nao e pop",150
"I Don't Care (with Justin Bieber)","Ed Sheeran","pop",102
"Ransom","Lil Tecca","nao e pop",180
"How Do You Sleep?","Sam Smith","pop",111
"Old Town Road - Remix","Lil Nas X","nao e pop",136
"bad guy","Billie Eilish","nao e pop",136
"Callaita","Bad Bunny","nao e pop",176
"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake","pop",96
"Someone You Loved","Lewis Capaldi","pop",110
"Otro Trago - Remix","Sech","pop",176
"Money In The Grave (Drake ft. Rick Ross)","Drake","nao e pop",101
"No Guidance (feat. Drake)","Chris Brown","pop",93
"LA CANCIÓN","J Balvin","nao e pop",176
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","nao e pop",90
"Lalala","Y2K","nao e pop",130
